Deutsch,Farsi,English,Beispielsatz,Beispielsatz_Farsi,Artikel,Plural
abschließen,بستن (قرارداد) / قفل کردن,to conclude / lock,Er möchte eine Versicherung abschließen.,او می‌خواهد یک بیمه قرارداد ببندد.,-,(Verb)
Datei,فایل,file,Speichern Sie die Datei auf dem Computer.,فایل را در کامپیوتر ذخیره کنید.,die,die Dateien
Haftpflichtversicherung,بیمه شخص ثالث / مسئولیت,liability insurance,Eine Haftpflichtversicherung ist sehr wichtig.,بیمه مسئولیت بسیار مهم است.,die,die Haftpflichtversicherungen
komplett,کامل,complete,Die Wohnung ist komplett eingerichtet.,آپارتمان کاملاً مبله است.,-,(Adj)
Quittung,رسید,receipt,Brauchen Sie eine Quittung?,آیا رسید لازم دارید؟,die,die Quittungen
scannen,اسکن کردن,to scan,Ich muss das Dokument scannen.,من باید سند را اسکن کنم.,-,(Verb)
senden,فرستادن,to send,Bitte senden Sie mir eine E-Mail.,لطفاً برای من ایمیل بفرستید.,-,(Verb)
vorhaben,قصد داشتن,to intend / plan,Was hast du am Wochenende vor?,آخر هفته چه برنامه‌ای داری؟,-,(Verb)
zum Glück,خوشبختانه,fortunately,Zum Glück hat es nicht geregnet.,خوشبختانه باران نیامد.,-,(Phrase)
Hausratversicherung,بیمه لوازم منزل,household insurance,Die Hausratversicherung bezahlt bei Einbruch.,بیمه لوازم منزل در صورت سرقت پرداخت می‌کند.,die,die Hausratversicherungen
KFZ,وسیله نقلیه موتوری,motor vehicle,KFZ ist die Abkürzung für Kraftfahrzeug.,KFZ مخفف وسیله نقلیه موتوری است.,das,-
Rechtsschutzversicherung,بیمه حقوقی,legal protection insurance,Die Rechtsschutzversicherung hilft bei Anwaltskosten.,بیمه حقوقی در هزینه‌های وکالت کمک می‌کند.,die,die Rechtsschutzversicherungen
Unfallversicherung,بیمه حوادث,accident insurance,Die Unfallversicherung zahlt bei Verletzungen.,بیمه حوادث در صورت جراحت پرداخت می‌کند.,die,die Unfallversicherungen
abhängig,وابسته,dependent,Kinder sind von ihren Eltern abhängig.,کودکان به والدین خود وابسته هستند.,-,(Adj)
Anwalt,وکیل,lawyer,Ich brauche einen guten Anwalt.,من به یک وکیل خوب نیاز دارم.,der,die Anwälte
Anwalt-Service,خدمات وکالت,lawyer service,Der Anwalt-Service ist rund um die Uhr erreichbar.,خدمات وکالت شبانه‌روزی در دسترس است.,der,die Anwalt-Services
aus Versehen,اشتباهاً / سهواً,by mistake,Ich habe das Glas aus Versehen umgeworfen.,من لیوان را سهواً انداختم.,-,(Phrase)
beschädigen,آسیب زدن,to damage,Sie dürfen das Auto nicht beschädigen.,شما نباید به ماشین آسیب بزنید.,-,(Verb)
Einbruch,سرقت (با شکستن قفل),burglary,Der Einbruch passierte in der Nacht.,سرقت در شب اتفاق افتاد.,der,die Einbrüche
entstehen,به وجود آمدن,to arise / originate,Hier soll ein neuer Park entstehen.,اینجا قرار است یک پارک جدید ساخته شود.,-,(Verb)
erstatten,بازپرداخت کردن,to reimburse / refund,Die Firma erstattet die Reisekosten.,شرکت هزینه‌های سفر را بازپرداخت می‌کند.,-,(Verb)
Faktor,عامل,factor,Zeit ist ein wichtiger Faktor.,زمان یک عامل مهم است.,der,die Faktoren
Fläche,مساحت / سطح,area / surface,Die Wohnung hat eine Fläche von 80 qm.,آپارتمان مساحتی برابر با ۸۰ متر مربع دارد.,die,die Flächen
Gerichtsprozess,دادگاه / محاکمه,court case / trial,Der Gerichtsprozess dauert schon lange.,محاکمه دادگاه مدت زیادی طول کشیده است.,der,die Gerichtsprozesse
individuell,انفرادی / شخصی,individual,Wir bieten eine individuelle Beratung.,ما مشاوره انفرادی ارائه می‌دهیم.,-,(Adj)
Jahresbeitrag,حق عضویت سالانه,annual fee,Der Jahresbeitrag ist im Januar fällig.,حق عضویت سالانه در ژانویه سررسید می‌شود.,der,die Jahresbeiträge
jährlich,سالانه,yearly / annually,Das Festival findet jährlich statt.,جشنواره سالانه برگزار می‌شود.,-,(Adj)
Rechtsstreit,دعوی حقوقی,legal dispute,Der Rechtsstreit wurde beigelegt.,دعوی حقوقی حل و فصل شد.,der,die Rechtsstreite
sämtlich,همه / کلیه,all / entire,Sämtliche Mitarbeiter waren anwesend.,کلیه کارکنان حضور داشتند.,-,(Pron)
Schutz,محافظت,protection,Ein Helm bietet Schutz beim Radfahren.,کلاه ایمنی هنگام دوچرخه‌سواری محافظت ایجاد می‌کند.,der,-
unterstützen,حمایت کردن,to support,Wir unterstützen dich bei deinem Projekt.,ما تو را در پروژه‌ات حمایت می‌کنیم.,-,(Verb)
Versehen,اشتباه / سهو,oversight / mistake,Entschuldigung, das war ein Versehen.,ببخشید، این یک اشتباه بود.,das,-
versichert,بیمه شده,insured,Sind Sie privat versichert?,آیا شما بیمه خصوصی دارید؟,-,(Adj)
Wasserschaden,خسارت ناشی از آب,water damage,Der Wasserschaden im Bad ist teuer.,خسارت آب در حمام گران است.,der,die Wasserschäden
dicht,کیپ / متراکم / بسته,tight / dense,Das Fenster ist nicht ganz dicht.,پنجره کاملاً کیپ نیست.,-,(Adj)
Einbrecher,سارق,burglar,Die Polizei hat den Einbrecher gefangen.,پلیس سارق را دستگیر کرد.,der,die Einbrecher
Kleingruppe,گروه کوچک,small group,Wir arbeiten in Kleingruppen.,ما در گروه‌های کوچک کار می‌کنیم.,die,die Kleingruppen
laufen,جاری شدن / دویدن,to run / flow,Das Wasser läuft aus der Badewanne.,آب از وان حمام جاری شده است.,-,(Verb)
Nachbarwohnung,آپارتمان همسایه,neighbor's apartment,In der Nachbarwohnung ist es laut.,در آپارتمان همسایه سر و صدا است.,die,die Nachbarwohnungen
stehlen,دزدیدن,to steal,Jemand hat mein Fahrrad gestohlen.,کسی دوچرخه‌ام را دزدیده است.,-,(Verb)
zufügen,وارد کردن (آسیب) / افزودن,to inflict / add,Niemand wollte dir Schmerzen zufügen.,هیچ‌کس نمی‌خواست به تو دردی وارد کند.,-,(Verb)
zurückwollen,خواستنِ بازگشت,to want to go back,Ich will nicht mehr zurückwollen.,من دیگر نمی‌خواهم برگردم.,-,(Verb)
Versicherungsvertreter,نماینده بیمه,insurance agent,Der Versicherungsvertreter kommt morgen.,نماینده بیمه فردا می‌آید.,der,die Versicherungsvertreter
Kontodaten,اطلاعات حساب,account details,Bitte geben Sie Ihre Kontodaten an.,لطفاً اطلاعات حساب خود را وارد کنید.,-,die (Pl.)
Mobilbox,صندوق صوتی موبایل,mobile voicemail,Sprechen Sie bitte auf die Mobilbox.,لطفاً روی صندوق صوتی صحبت کنید.,die,die Mobilboxen
Treffen,ملاقات / جلسه,meeting,Das Treffen findet um 10 Uhr statt.,جلسه ساعت ۱۰ برگزار می‌شود.,das,-
Anspruch,حق / ادعا,claim / right,Sie haben Anspruch auf Urlaub.,شما حق مرخصی دارید.,der,die Ansprüche
Schadensfall,مورد خسارت,damage event,Im Schadensfall zahlt die Versicherung.,در صورت بروز خسارت بیمه پرداخت می‌کند.,der,die Schadensfälle
Selbstbeteiligung,فرانشیز (سهم بیمه‌گذار),deductible / excess,Die Selbstbeteiligung beträgt 150 Euro.,فرانشیز ۱۵۰ یورو است.,die,die Selbstbeteiligungen
Versicherungssumme,مبلغ بیمه,sum insured,Die Versicherungssumme ist sehr hoch.,مبلغ بیمه بسیار بالا است.,die,die Versicherungssummen
Zahlung,پرداخت,payment,Wir erwarten Ihre Zahlung bis Freitag.,ما منتظر پرداخت شما تا جمعه هستیم.,die,die Zahlungen
Auswahl,انتخاب / گزینش,selection,Es gibt eine große Auswahl an Schuhen.,انتخاب بزرگی از کفش‌ها وجود دارد.,die,die Auswahlen
Auslandskrankenversicherung,بیمه درمانی خارج از کشور,foreign health insurance,Für den Urlaub brauche ich eine Auslandskrankenversicherung.,برای تعطیلات به بیمه درمانی خارج از کشور نیاز دارم.,die,die Auslandskrankenversicherungen
Jahresversicherung,بیمه سالانه,annual insurance,Die Jahresversicherung ist günstiger.,بیمه سالانه ارزان‌تر است.,die,die Jahresversicherungen
Reisekrankenversicherung,بیمه درمانی مسافرتی,travel health insurance,Die Reisekrankenversicherung deckt Arztkosten im Ausland.,بیمه درمانی مسافرتی هزینه‌های پزشکی در خارج را پوشش می‌دهد.,die,die Reisekrankenversicherungen
verbringen,سپری کردن,to spend (time),Wir verbringen den Urlaub in Italien.,ما تعطیلات را در ایتالیا سپری می‌کنیم.,-,(Verb)
kompliziert,پیچیده,complicated,Das Problem ist sehr kompliziert.,مشکل بسیار پیچیده است.,-,(Adj)
Taschengeld,پول توجیبی,pocket money,Das Kind bekommt 5 Euro Taschengeld.,کودک ۵ یورو پول توجیبی می‌گیرد.,das,die Taschengelder
abheben,پول برداشت کردن,to withdraw,Ich muss Geld am Automaten abheben.,من باید از خودپرداز پول برداشت کنم.,-,(Verb)
Bankgeschäft,امور بانکی,banking transaction,Er erledigt seine Bankgeschäfte online.,او امور بانکی خود را آنلاین انجام می‌دهد.,das,die Bankgeschäfte
Bargeld,پول نقد,cash,Haben Sie Bargeld dabei?,آیا پول نقد همراه دارید؟,das,-
bargeldlos,بدون پول نقد,cashless,Hier können Sie bargeldlos bezahlen.,اینجا می‌توانید بدون پول نقد پرداخت کنید.,-,(Adj)
Dauerauftrag,دستور پرداخت دائم,standing order,Ich habe einen Dauerauftrag für die Miete.,من یک دستور پرداخت دائم برای اجاره دارم.,der,die Daueraufträge
Direktbank,بانک مستقیم (آنلاین),direct bank,Eine Direktbank hat keine Filialen.,یک بانک مستقیم شعبه ندارد.,die,die Direktbanken
einzahlen,پول واریز کردن,to deposit,Ich möchte Geld auf mein Konto einzahlen.,من می‌خواهم پول به حسابم واریز کنم.,-,(Verb)
Geldautomat,دستگاه خودپرداز,ATM,Der Geldautomat ist defekt.,دستگاه خودپرداز خراب است.,der,die Geldautomaten
Kontoauszug,صورتحساب بانکی,bank statement,Meine Bank schickt die Auszüge per Post.,بانک من صورتحساب‌ها را با پست می‌فرستد.,der,die Kontoauszüge
Summe,مبلغ کل / حاصل‌جمع,sum,Die Summe beläuft sich auf 100 Euro.,مبلغ کل به ۱۰۰ یورو می‌رسد.,die,die Summen
Bankfiliale,شعبه بانک,bank branch,Die Bankfiliale öffnet um 9 Uhr.,شعبه بانک ساعت ۹ باز می‌شود.,die,die Bankfilialen
deutschlandweit,در سراسر آلمان,Germany-wide,Wir liefern deutschlandweit.,ما به سراسر آلمان ارسال می‌کنیم.,-,(Adj)
Finanzen,امور مالی,finances,Er kümmert sich um die Finanzen.,او به امور مالی رسیدگی می‌کند.,-,die (Pl.)
Girokonto,حساب جاری,current account,Ich möchte ein Girokonto eröffnen.,من می‌خواهم یک حساب جاری باز کنم.,das,die Girokonten
kompetent,کاردان / لایق,competent,Der Berater war sehr kompetent.,مشاور بسیار کاردان بود.,-,(Adj)
mobil,سیار / متحرک,mobile,Mobiles Banking funktioniert ganz leicht.,بانکداری سیار خیلی راحت کار می‌کند.,-,(Adj)
mobile Banking,بانکداری موبایلی,mobile banking,Das mobile Banking ist praktisch.,بانکداری موبایلی کاربردی است.,das,die mobile Bankings
Online-Banking,بانکداری اینترنتی,online banking,Ich mache Online-Banking am PC.,من بانکداری اینترنتی را با کامپیوتر انجام می‌دهم.,das,-
Online-Filiale,شعبه آنلاین,online branch,Die Online-Filiale ist immer geöffnet.,شعبه آنلاین همیشه باز است.,die,die Online-Filialen
Partnerbank,بانک شریک,partner bank,Sie können bei der Partnerbank Geld abheben.,شما می‌توانید از بانک شریک پول برداشت کنید.,die,die Partnerbanken
Überblick,نگاه کلی / چشم‌انداز,overview,Ich habe den Überblick verloren.,من حساب کار از دستم در رفته است.,der,die Überblicke
ausdrucken,پرینت گرفتن,to print out,Ich muss das Formular ausdrucken.,من باید فرم را پرینت بگیرم.,-,(Verb)
BankApp,اپلیکیشن بانک,banking app,Die BankApp ist sehr benutzerfreundlich.,اپلیکیشن بانک بسیار کاربرپسند است.,die,die BankApps
Diebstahl,دزدی,theft,Melden Sie den Diebstahl sofort der Polizei.,دزدی را فوراً به پلیس گزارش دهید.,der,die Diebstähle
erreichbar,در دسترس,reachable,Am Wochenende bin ich nicht erreichbar.,آخر هفته در دسترس نیستم.,-,(Adj)
IBAN-Nummer,شماره شبا,IBAN number,Die IBAN-Nummer steht auf der Karte.,شماره شبا روی کارت نوشته شده است.,die,die IBAN-Nummern
sperren,مسدود کردن,to block,Ich muss meine Karte sperren lassen.,من باید کارتم را مسدود کنم.,-,(Verb)
Sperrnotruf,تلفن اضطراری مسدودی,emergency blocking number,Rufen Sie den Sperrnotruf an.,با تلفن اضطراری مسدودی تماس بگیرید.,der,die Sperrnotrufe
Verlust,فقدان / گم شدن,loss,Der Verlust des Ausweises ist ärgerlich.,گم شدن کارت شناسایی ناراحت‌کننده است.,der,die Verluste
zusätzlich,اضافی,additional,Es fallen keine zusätzlichen Kosten an.,هیچ هزینه اضافی تعلق نمی‌گیرد.,-,(Adj)
Eröffnung,افتتاح,opening,Die Eröffnung des Kontos dauert nur wenige Minuten.,افتتاح حساب فقط چند دقیقه طول می‌کشد.,die,die Eröffnungen
Filiale,شعبه,branch,In welcher Filiale arbeiten Sie?,در کدام شعبه کار می‌کنید؟,die,die Filialen
Kontoauszugsdrucker,چاپگر صورتحساب,statement printer,Der Kontoauszugsdrucker steht im Vorraum.,چاپگر صورتحساب در سالن ورودی قرار دارد.,der,die Kontoauszugsdrucker
Service,خدمات,service,Der Service in diesem Hotel ist exzellent.,خدمات این هتل عالی است.,der,-
Startguthaben,اعتبار اولیه,starting credit,Sie erhalten 50 Euro Startguthaben.,شما ۵۰ یورو اعتبار اولیه دریافت می‌کنید.,das,-
Auszug,اسباب‌کشی (خروج),move out,Beim Auszug muss ich die Wohnung renovieren.,هنگام اسباب‌کشی (خروج) باید آپارتمان را نوسازی کنم.,der,die Auszüge
Notruf,تماس اضطراری,emergency call,Wählen Sie im Notfall den Notruf.,در مواقع اضطراری شماره اورژانس را بگیرید.,der,die Notrufe
drucken,چاپ کردن,to print,Der Drucker druckt nicht.,پرینتر چاپ نمی‌کند.,-,(Verb)
Anrufer,تماس‌گیرنده,caller,Der Anrufer hat keine Nachricht hinterlassen.,تماس‌گیرنده پیامی نگذاشت.,der,die Anrufer
Brieftasche,کیف پول,wallet,Ich habe meine Brieftasche verloren.,من کیف پولم را گم کردم.,die,die Brieftaschen
Zeitpunkt,زمان / مقطع زمانی,point in time,Der Zeitpunkt ist ungünstig.,زمان نامناسب است.,der,die Zeitpunkte
distanziert,سرد / بافاصله,distant / reserved,Er wirkt sehr distanziert.,او بسیار سرد به نظر می‌رسد.,-,(Adj)
erstaunlich,شگفت‌انگیز,amazing / astonishing,Das Ergebnis ist erstaunlich.,نتیجه شگفت‌انگیز است.,-,(Adj)
Internetanbieter,ارائه‌دهنده اینترنت,internet provider,Welchen Internetanbieter hast du?,کدام ارائه‌دهنده اینترنت را داری؟,der,die Internetanbieter
Internetanschluss,اتصال اینترنت,internet connection,Der Internetanschluss ist sehr schnell.,اتصال اینترنت بسیار سریع است.,der,die Internetanschlüsse
momentan,در حال حاضر,currently / at the moment,Momentan habe ich keine Zeit.,در حال حاضر وقت ندارم.,-,(Adv)
obwohl,با اینکه / اگرچه,although,Ich gehe spazieren, obwohl es regnet.,من پیاده‌روی می‌روم، با اینکه باران می‌بارد.,-,(Konj)
unhöflich,بی‌ادبانه,impolite / rude,Es ist unhöflich, nicht zu grüßen.,سلام نکردن بی‌ادبانه است.,-,(Adj)
Verbraucherzentrale,مرکز حمایت از مصرف‌کننده,consumer advice center,Die Verbraucherzentrale berät Kunden.,مرکز حمایت از مصرف‌کننده به مشتریان مشاوره می‌دهد.,die,die Verbraucherzentralen
verschlossen,قفل شده / بسته / تودار,locked / closed / withdrawn,Die Tür ist verschlossen.,در قفل است.,-,(Adj)
zuverlässig,قابل اعتماد,reliable,Mein Auto ist sehr zuverlässig.,ماشین من بسیار قابل اعتماد است.,-,(Adj)
zu Ende,به پایان,over / at an end,Der Film ist zu Ende.,فیلم به پایان رسید.,-,(Phrase)
Empfehlung,توصیه / سفارش,recommendation,Danke für die Empfehlung.,ممنون بابت توصیه.,die,die Empfehlungen
Verbraucher,مصرف‌کننده,consumer,Der Verbraucher hat Rechte.,مصرف‌کننده حقوقی دارد.,der,die Verbraucher
akzeptieren,پذیرفتن / قبول کردن,to accept,Wir akzeptieren Kreditkarten.,ما کارت اعتباری قبول می‌کنیم.,-,(Verb)
aufnehmen,گرفتن (وام) / ضبط کردن,to take out (loan) / record,Ich muss einen Kredit aufnehmen, damit ich ein Auto kaufen kann.,من باید وام بگیرم تا بتوانم ماشین بخرم.,-,(Verb)
Babynahrung,غذای کودک,baby food,Hier gibt es Babynahrung.,اینجا غذای کودک موجود است.,die,-
Broschüre,بروشور / دفترچه راهنما,brochure,In der Broschüre finden Sie alle Informationen.,در بروشور همه اطلاعات را پیدا می‌کنید.,die,die Broschüren
Energie,انرژی,energy,Wir müssen Energie sparen.,ما باید در مصرف انرژی صرفه‌جویی کنیم.,die,die Energien
Ernährung,تغذیه,nutrition,Gesunde Ernährung ist wichtig.,تغذیه سالم مهم است.,die,die Ernährungen
Forumstext,متن انجمن,forum text,Der Forumstext diskutiert das Thema.,متن انجمن موضوع را بحث می‌کند.,der,die Forumstexte
Kredit,وام / اعتبار,credit / loan,Der Kredit läuft über fünf Jahre.,وام پنج ساله است.,der,die Kredite
Kündigung,فسخ / اخراج,termination / dismissal,Die Kündigung muss schriftlich erfolgen.,فسخ باید کتبی انجام شود.,die,die Kündigungen
Medien,رسانه‌ها,media,Die Medien berichten darüber.,رسانه‌ها در این باره گزارش می‌دهند.,-,die (Pl.)
Mobilität,تحرک / پویایی,mobility,Mobilität ist in der heutigen Welt wichtig.,تحرک در دنیای امروزی مهم است.,die,die Mobilitäten
Pflege,مراقبت / پرستاری,care,Die Pflege von Angehörigen ist anstrengend.,مراقبت از بستگان خسته‌کننده است.,die,-
Rechtsanwalt,وکیل دادگستری,attorney,Der Rechtsanwalt vertritt den Klienten.,وکیل دادگستری نماینده موکل است.,der,die Rechtsanwälte
zum Beispiel,برای مثال,for example,Ich mag Obst, zum Beispiel Äpfel.,من میوه دوست دارم، برای مثال سیب.,-,(Phrase)
Zentrale,مرکز / ستاد,headquarters / center,Die Zentrale befindet sich in Berlin.,ستاد مرکزی در برلین قرار دارد.,die,die Zentralen
schuld sein,مقصر بودن,to be at fault,Er ist schuld an dem Unfall.,او مقصر تصادف است.,-,(Verb)
selber,خود / خویش,self / yourself,Das habe ich selber gemacht.,این را خودم انجام دادم.,-,(Pron)
Fotoalbum,آلبوم عکس,photo album,Ich zeige dir mein Fotoalbum.,من آلبوم عکسم را به تو نشان می‌دهم.,das,die Fotoalben
Eindruck,تأثیر / احساس,impression,Der erste Eindruck ist wichtig.,تأثیر اول مهم است.,der,die Eindrücke
hingegen,در مقابل / اما,on the other hand / whereas,Ich mag Tee, er hingegen mag Kaffee.,من چای دوست دارم، اما او قهوه دوست دارد.,-,(Konj)
verändern,تغییر دادن,to change / alter,Das Internet hat die Welt verändert.,اینترنت دنیا را تغییر داده است.,-,(Verb)
Ernährungsberater,مشاور تغذیه,nutritionist,Der Ernährungsberater empfiehlt viel Gemüse.,مشاور تغذیه سبزیجات زیاد را توصیه می‌کند.,der,die Ernährungsberater
Essgewohnheit,عادت غذایی,eating habit,Wir sollten unsere Essgewohnheiten verbessern.,ما باید عادات غذایی خود را بهبود بخشیم.,die,die Essgewohnheiten
Mahlzeit,وعده غذایی,meal,Das Frühstück ist die wichtigste Mahlzeit.,صبحانه مهم‌ترین وعده غذایی است.,die,die Mahlzeiten
Schulbuchtext,متن کتاب درسی,textbook text,Lest bitte den Schulbuchtext.,لطفاً متن کتاب درسی را بخوانید.,der,die Schulbuchtexte
Arbeitsblatt,برگه کار / کاربرگ,worksheet,Füllt bitte das Arbeitsblatt aus.,لطفاً برگه کار را پر کنید.,das,die Arbeitsblätter
Arbeitswelt,دنیای کار,working world,Die Arbeitswelt verändert sich schnell.,دنیای کار به سرعت تغییر می‌کند.,die,die Arbeitswelten
aufwärmen,گرم کردن,to warm up,Ich muss das Essen aufwärmen.,من باید غذا را گرم کنم.,-,(Verb)
berufstätig,شاغل,employed / working,Sind beide Eltern berufstätig?,آیا هر دو والدین شاغل هستند؟,-,(Adj)
Fertiggericht,غذای آماده,ready meal,Fertiggerichte sind oft ungesund.,غذاهای آماده اغلب ناسالم هستند.,das,die Fertiggerichte
Grundnahrungsmittel,ماده غذایی اصلی,staple food,Reis ist ein wichtiges Grundnahrungsmittel.,برنج یک ماده غذایی اصلی مهم است.,das,die Grundnahrungsmittel
heimisch,بومی / محلی,domestic / native,Wir kaufen heimisches Obst.,ما میوه بومی (محلی) می‌خریم.,-,(Adj)
Infokasten,کادر اطلاعات,info box,Schau mal in den Infokasten.,یک نگاه به کادر اطلاعات بینداز.,der,die Infokästen
Kilogramm,کیلوگرم,kilogram,Ich hätte gerne ein Kilogramm Äpfel.,من یک کیلوگرم سیب می‌خواهم.,das,die Kilogramme
Pasta,پاستا / ماکارونی,pasta,Heute Abend essen wir Pasta.,امشب پاستا می‌خوریم.,die,-
Sandwich,ساندویچ,sandwich,Ich nehme ein Sandwich mit Käse.,من یک ساندویچ با پنیر برمی‌دارم.,das,die Sandwiches
siehe,ر.ک. / رجوع کنید به,see (imperative),Siehe Seite 10 für mehr Informationen.,برای اطلاعات بیشتر به صفحه ۱۰ رجوع کنید.,-,(Verb)
Sonntagsbraten,کباب یکشنبه,Sunday roast,Bei Oma gibt es immer Sonntagsbraten.,پیش مادربزرگ همیشه کباب یکشنبه هست.,der,die Sonntagsbraten
zu Recht,به حق / به درستی,rightly,Er hat sich zu Recht beschwert.,او به حق شکایت کرد.,-,(Phrase)
Veränderung,تغییر / تحول,change,Wir brauchen eine Veränderung.,ما به یک تغییر نیاز داریم.,die,die Veränderungen
fallen,افتادن,to fall,Die Blätter fallen von den Bäumen.,برگ‌ها از درختان می‌افتند.,-,(Verb)
Gewohnheit,عادت,habit,Rauchen ist eine schlechte Gewohnheit.,سیگار کشیدن یک عادت بد است.,die,die Gewohnheiten
wegfallen,حذف شدن / از بین رفتن,to be omitted / drop out,Der Termin muss leider wegfallen.,قرار متأسفانه باید حذف شود.,-,(Verb)
Zusammenhang,ارتباط / زمینه,connection / context,Ich verstehe den Zusammenhang nicht.,من ارتباط را نمی‌فهمم.,der,die Zusammenhänge
Fußballtraining,تمرین فوتبال,soccer training,Das Fußballtraining beginnt um 18 Uhr.,تمرین فوتبال ساعت ۱۸ شروع می‌شود.,das,die Fußballtrainings
Stapel,دسته / توده,stack / pile,Auf dem Tisch liegt ein Stapel Bücher.,روی میز یک دسته کتاب قرار دارد.,der,die Stapel
Substantiv,اسم,noun,Substantive schreibt man groß.,اسم‌ها را با حروف بزرگ می‌نویسند.,das,die Substantive
igitt,اه / پیف (نشانه تنفر),yuck,Igitt, das schmeckt mir nicht!,اه، این برای من خوشمزه نیست!,-,(Interj)
warm machen,گرم کردن,to make warm,Kannst du mir die Milch warm machen?,می‌توانی شیر را برایم گرم کنی؟,-,(Verb)
Limo,لیموناد,lemonade (soda),Ich trinke gerne Limo.,من دوست دارم لیموناد بنوشم.,die,die Limos
Kinofilm,فیلم سینمایی,movie,Der Kinofilm war sehr spannend.,فیلم سینمایی خیلی هیجان‌انگیز بود.,der,die Kinofilme
Festessen,ضیافت / غذای جشن,banquet / feast,Zu Weihnachten gibt es ein großes Festessen.,برای کریسمس یک ضیافت بزرگ برپا می‌شود.,das,-
allergisch,آلرژیک / حساس,allergic,Ich bin allergisch gegen Nüsse.,من به آجیل حساسیت دارم.,-,(Adj)
ernähren (sich),تغذیه کردن,to feed (oneself),Wir ernähren uns gesund.,ما سالم تغذیه می‌کنیم.,-,(Verb)
zustimmen,موافقت کردن,to agree,Ich stimme dir vollkommen zu.,من کاملاً با تو موافقم.,-,(Verb)
Befragte,پاسخ‌دهنده (نظرسنجی),respondent,Viele Befragte essen gerne Fleisch.,بسیاری از پاسخ‌دهندگان دوست دارند گوشت بخورند.,der,die Befragten
Drittel,یک سوم,third,Ein Drittel der Schüler fehlt.,یک سوم دانش‌آموزان غایب هستند.,das,die Drittel
Hälfte,نصف / نیمه,half,Ich gebe dir die Hälfte von meinem Apfel.,من نصف سیبم را به تو می‌دهم.,die,die Hälften
Mehrheit,اکثریت,majority,Die Mehrheit war dafür.,اکثریت موافق بودند.,die,die Mehrheiten
vorne liegen,جلو بودن / پیشتاز بودن,to be ahead,Unsere Mannschaft liegt vorne.,تیم ما جلو است (پیشتاز است).,-,(Verb)
ungesund,ناسالم,unhealthy,Zu viel Zucker ist ungesund.,شکر زیاد ناسالم است.,-,(Adj)
Workshop,کارگاه آموزشی,workshop,Am Wochenende besuche ich einen Workshop.,آخر هفته در یک کارگاه آموزشی شرکت می‌کنم.,der,die Workshops
Chip,چیپس,chip,Er isst eine Tüte Chips.,او یک پاکت چیپس می‌خورد.,der,die Chips
Nuss,آجیل / گردو / فندق,nut,Nüsse sind gut für das Gehirn.,آجیل برای مغز خوب است.,die,die Nüsse
Schokoriegel,شکلات تخته‌ای (کوچک),chocolate bar,Magst du einen Schokoriegel?,آیا یک شکلات تخته‌ای میل داری؟,der,die Schokoriegel
ändern,تغییر دادن,to change,Du solltest dein Passwort ändern.,تو باید رمز عبورت را تغییر دهی.,-,(Verb)
Essverhalten,رفتار غذایی,eating behavior,Sein Essverhalten ist sehr gesund.,رفتار غذایی او بسیار سالم است.,das,-
Folie,فویل / اسلاید,foil / slide,Wickle das Brot in Folie ein.,نان را در فویل بپیچ.,die,die Folien
Snack,میان‌وعده / خوراکی,snack,Obst ist ein gesunder Snack.,میوه یک میان‌وعده سالم است.,der,die Snacks
spannend,هیجان‌انگیز,exciting,Das Buch ist sehr spannend.,کتاب خیلی هیجان‌انگیز است.,-,(Adj)
das Süße,شیرینی‌جات,sweets,Lass das Süße weg, wenn du abnehmen willst.,اگر می‌خواهی لاغر شوی، شیرینی‌جات را کنار بگذار.,das,-
teilnehmen,شرکت کردن,to participate,Ich möchte am Kurs teilnehmen.,من می‌خواهم در دوره شرکت کنم.,-,(Verb)
um … zu,برای اینکه ...,in order to,Ich lerne Deutsch, um in Deutschland zu arbeiten.,من آلمانی یاد می‌گیرم تا در آلمان کار کنم.,-,(Konj)
verbessern,بهتر کردن,to improve,Ich möchte mein Deutsch verbessern.,من می‌خواهم آلمانی‌ام را بهتر کنم.,-,(Verb)
Verhalten,رفتار,behavior,Sein Verhalten war unmöglich.,رفتار او غیرقابل تحمل بود.,das,-
Wohlbefinden,سلامتی / رفاه,well-being,Sport trägt zum Wohlbefinden bei.,ورزش به سلامتی کمک می‌کند.,das,-
zubereiten,آماده کردن (غذا),to prepare (food),Wie bereitet man dieses Gericht zu?,چطور این غذا را آماده می‌کنند؟,-,(Verb)
Fett,چربی,fat,Zu viel Fett macht dick.,چربی زیاد چاق می‌کند.,das,die Fette
Zeit nehmen (sich),وقت گذاشتن,to take time,Nimm dir Zeit für das Essen.,برای غذا خوردن وقت بگذار.,-,(Verb)
abnehmen,وزن کم کردن / کاهش یافتن,to lose weight / decrease,Er hat fünf Kilo abgenommen.,او پنج کیلو وزن کم کرده است.,-,(Verb)
Tempo,سرعت,tempo / speed,Wir müssen das Tempo erhöhen.,ما باید سرعت را افزایش دهیم.,das,die Tempos
Version,نسخه,version,Hast du die neue Version der App?,آیا نسخه جدید اپلیکیشن را داری؟,die,die Versionen
Bedeutung,معنی / اهمیت,meaning / importance,Was ist die Bedeutung dieses Wortes?,معنی این کلمه چیست؟,die,die Bedeutungen
Gewürz,ادویه,spice,Pfeffer ist ein scharfes Gewürz.,فلفل یک ادویه تند است.,das,die Gewürze
