"Deutsch","Farsi","English","Beispielsatz","Beispielsatz_Farsi","Status","Präposition","Artikel","Plural","Perfekt","Präteritum"
"verraten","فاش کردن، خیانت کردن","to betray, to reveal","Er durfte das Geheimnis niemandem verraten.","او اجازه نداشت این راز را برای هیچ کس فاش کند.","Neutral","","","","hat verraten","verriet"
"verschieben","به تعویق انداختن","to postpone, to shift","Wegen des schlechten Wetters mussten wir das Treffen verschieben.","به دلیل آب و هوای بد مجبور شدیم جلسه را به تعویق بیندازیم.","Neutral","","","","hat verschoben","verschob"
"verschwinden","ناپدید شدن","to disappear","Nach dem Unfall ist der Fahrer sofort verschwunden.","پس از تصادف، راننده بلافاصله ناپدید شد.","Neutral","","","","ist verschwunden","verschwand"
"versprechen","قول دادن","to promise","Du musst mir versprechen, dass du pünktlich zurückkommst.","تو باید به من قول دهی که به موقع برگردی.","Neutral","","","","hat versprochen","versprach"
"verstehen","درک کردن","to understand","Ich muss die Grammatikregeln verstehen, um die Prüfung zu bestehen.","من باید قوانین گرامر را درک کنم تا در امتحان قبول شوم.","Neutral","","","","hat verstanden", "verstand"
"vertragen","تحمل کردن / سازگار بودن","to tolerate / to get along with","Mein Magen verträgt keine scharfen Speisen.","معده من غذاهای تند را تحمل نمی‌کند.","Neutral","","","","hat vertragen", "vertrug"
"vertreten","نمایندگی کردن / دفاع کردن","to represent / to substitute","Sie wird ihren Chef bei der Konferenz vertreten.","او از طرف رئیس خود در کنفرانس نمایندگی خواهد کرد.","Neutral","","","","hat vertreten", "verttrat"
"voranbringen","پیش بردن / تسریع کردن","to advance / to promote","Wir müssen dieses Projekt schnell voranbringen.","ما باید این پروژه را سریع پیش ببریم.","Neutral","","","","hat vorangebracht", "brachte voran"
"vorkommen","رخ دادن / به نظر رسیدن","to occur / to seem","Solche Fehler können leider immer wieder vorkommen.","متأسفانه، چنین خطاهایی همیشه ممکن است رخ دهد.","Neutral","","","","ist vorgekommen", "kam vor"
"vorliegen","موجود بودن / در دسترس بودن","to be available / to be on hand","Der Bericht liegt uns seit gestern vor und wird nun geprüft.","گزارش از دیروز در اختیار ما است و اکنون در حال بررسی می‌باشد.","Neutral","","","","hat vorgelegen", "lag vor"
"vorschlagen","پیشنهاد کردن","to suggest / to propose","Ich möchte vorschlagen, dass wir das Treffen verschieben.","من می‌خواهم پیشنهاد کنم که جلسه را به تعویق بیندازیم.","Neutral","","","","hat vorgeschlagen", "schlug vor"
"vortragen","ارائه دادن / سخنرانی کردن","to present / to recite","Der Musiker wird heute Abend sein neues Stück vortragen.","نوازنده امشب قطعه جدید خود را ارائه خواهد داد.","Neutral","","","","hat vorgetragen", "trug vor"
"wachsen","رشد کردن","to grow","Die Pflanze ist schnell gewachsen und blüht jetzt.","گیاه به سرعت رشد کرده است و اکنون گل می‌دهد.","Neutral","","","","ist gewachsen", "wuchs"
"wahrnehmen","درک کردن / مشاهده کردن / استفاده کردن (از فرصت)","to perceive / to notice / to take (an opportunity)","Sie konnte die Gefahr sofort wahrnehmen.","او توانست بلافاصله خطر را درک کند.","Neutral","","","","hat wahrgenommen", "nahm wahr"
"sich wenden","رجوع کردن / چرخیدن","to turn / to turn to (for help)","Er wird sich mit dieser Frage an den Experten wenden.","او برای این سؤال به کارشناس رجوع خواهد کرد.","Neutral","an + A","","","hat sich gewendet", "wendete sich"
"werden","شدن","to become / (auxiliary for future/passive)","Nach dem Studium ist er Lehrer geworden.","او بعد از تحصیل معلم شد.","Neutral","zu + D","","","ist geworden", "wurde"
"wiedergeben","بازگو کردن / منعکس کردن","to reproduce / to reflect / to recount","Er konnte den Inhalt der Rede perfekt wiedergeben.","او توانست محتوای سخنرانی را به طور کامل بازگو کند.","Neutral","","","","hat wiedergegeben", "gab wieder"
"widersprechen","مخالفت کردن / رد کردن","to contradict / to object","Man sollte seinem Vorgesetzten nicht immer widersprechen.","نباید همیشه با مافوق خود مخالفت کرد.","Neutral","+ D","","","hat widersprochen", "widersprach"
"wissen","دانستن","to know (a fact)","Ich wusste nicht, dass du heute Geburtstag hast.","من نمی‌دانستم که تو امروز تولد داری.","Neutral","","","","hat gewusst", "wusste"
"wollen","خواستن","to want","Ich will am Wochenende mit meinen Freunden ins Kino gehen.","من می‌خواهم آخر هفته با دوستانم به سینما بروم.","Neutral","","","","hat gewollt","wollte"
"ziehen","کشیدن/نقل مکان کردن","to pull / to move","Wir müssen die schweren Möbel in die neue Wohnung ziehen.","ما باید مبلمان سنگین را به آپارتمان جدید بکشیم.","Neutral","","","","hat gezogen","zog"
"zugreifen","دست دراز کردن/استفاده کردن","to access / to help oneself","Beim Buffet sollte man schnell zugreifen, bevor alles weg ist.","در بوفه باید سریع دست دراز کرد، قبل از اینکه همه چیز تمام شود.","Neutral","","","","hat zugegriffen","griff zu"
"zulassen","اجازه دادن/مقرر کردن","to allow / to admit","Der Lehrer wird keine Handys während der Prüfung zulassen.","معلم اجازه استفاده از هیچ تلفن همراهی را در طول امتحان نخواهد داد.","Neutral","","","","hat zugelassen","ließ zu"
"zwingen","مجبور کردن","to force / to compel","Man kann niemanden dazu zwingen, seine Meinung zu ändern.","نمی‌توان کسی را مجبور کرد که نظرش را تغییر دهد.","Neutral","zu + D","","","hat gezwungen","zwang"
