Deutsch,Farsi,English,Beispielsatz,Beispielsatz_Farsi,Status,Präposition,Artikel,Plural
worum,درباره چه,about what,Worum geht es in dem Film?,فیلم درباره چیست؟,Neutral,,-,(Adv)
siegen,پیروز شدن,to win / triumph,Die Gerechtigkeit wird siegen.,عدالت پیروز خواهد شد.,Neutral,,-,(Verb)
Veranstalter,برگزارکننده,organizer,Der Veranstalter war zufrieden.,برگزارکننده راضی بود.,Neutral,,der,die Veranstalter
Abschlussparty,جشن پایانی,closing party,Kommst du zur Abschlussparty?,آیا به جشن پایانی می‌آیی؟,Neutral,,die,die Abschlusspartys
Alpenläufer,دونده آلپ (کوهستان),alpine runner,Der Alpenläufer hat viel Ausdauer.,دونده آلپ استقامت زیادی دارد.,Neutral,,der,die Alpenläufer
anderthalb,یک و نیم,one and a half,Das dauert anderthalb Stunden.,این یک و نیم ساعت طول می‌کشد.,Neutral,,-,(Zahl)
anfeuern,تشویق کردن,to cheer on,Wir feuern unsere Mannschaft an.,ما تیممان را تشویق می‌کنیم.,Neutral,,-,(Verb)
ausbreiten,پهن کردن / گسترش دادن,to spread out,Sie breitet die Decke aus.,او پتو را پهن می‌کند.,Neutral,,-,(Verb)
bedrucken,چاپ کردن (روی چیزی),to print on,Wir lassen T-Shirts bedrucken.,ما می‌دهیم روی تی‌شرت‌ها چاپ کنند.,Neutral,,-,(Verb)
Bestzeit,بهترین زمان (رکورد),best time,Er ist eine neue Bestzeit gelaufen.,او بهترین زمان جدیدی را دویده است.,Neutral,,die,die Bestzeiten
Designstudent,دانشجوی طراحی,design student,Der Designstudent entwirft ein Plakat.,دانشجوی طراحی یک پوستر طراحی می‌کند.,Neutral,,der,die Designstudenten
drehen,چرخیدن / دور زدن,to turn / spin,Die Läufer drehen eine Runde.,دوندگان یک دور می‌زنند.,Neutral,,-,(Verb)
entwerfen,طراحی کردن,to design,Der Architekt entwirft ein Haus.,معمار خانه‌ای طراحی می‌کند.,Neutral,,-,(Verb)
erzielen,به دست آوردن / کسب کردن,to achieve / score,Wir wollen ein gutes Ergebnis erzielen.,ما می‌خواهیم نتیجه خوبی کسب کنیم.,Neutral,,-,(Verb)
Fan,طرفدار,fan,Er ist ein großer Fan von Bayern München.,او طرفدار بزرگ بایرن مونیخ است.,Neutral,,der,die Fans
Garmisch-Partenkirchen,گارمیش-پارتن‌کیرشن (شهر),Garmisch-Partenkirchen,Wir fahren nach Garmisch-Partenkirchen.,ما به گارمیش-پارتن‌کیرشن می‌رویم.,Neutral,,das,-
Jury,هیئت داوران,jury,Die Jury bewertet die Teilnehmer.,هیئت داوران شرکت‌کنندگان را ارزیابی می‌کند.,Neutral,,die,die Jurys
Picknickdecke,زیرانداز پیک‌نیک,picnic blanket,Setz dich auf die Picknickdecke.,روی زیرانداز پیک‌نیک بنشین.,Neutral,,die,die Picknickdecken
Profi,حرفه‌ای,pro / professional,Er spielt wie ein Profi.,او مثل یک حرفه‌ای بازی می‌کند.,Neutral,,der,die Profis
Punktzahl,امتیاز,score / number of points,Die höchste Punktzahl gewinnt.,بالاترین امتیاز برنده می‌شود.,Neutral,,die,die Punktzahlen
Rekord,رکورد,record,Er hat den Rekord gebrochen.,او رکورد را شکست.,Neutral,,der,die Rekorde
Rennen,مسابقه (سرعت),race,Das Rennen war sehr spannend.,مسابقه خیلی هیجان‌انگیز بود.,Neutral,,das,die Rennen
Reporter,گزارشگر,reporter,Der Reporter berichtet live.,گزارشگر زنده گزارش می‌دهد.,Neutral,,der,die Reporter
Resultat,نتیجه,result,Das Resultat war überraschend.,نتیجه غافلگیرکننده بود.,Neutral,,das,die Resultate
Runde,دور / مرحله,round / lap,Er läuft noch eine Runde.,او یک دور دیگر می‌دود.,Neutral,,die,die Runden
Sieger,برنده,winner,Der Sieger bekommt einen Pokal.,برنده یک جام دریافت می‌کند.,Neutral,,der,die Sieger
Sonne,خورشید,sun,Die Sonne scheint heute.,خورشید امروز می‌تابد.,Neutral,,die,die Sonnen
Staffelstab,چوب امدادی,baton,Er übergibt den Staffelstab.,او چوب امدادی را تحویل می‌دهد.,Neutral,,der,die Staffelstäbe
Teamkollege,هم‌تیمی,teammate,Mein Teamkollege ist sehr schnell.,هم‌تیمی من بسیار سریع است.,Neutral,,der,die Teamkollegen
Urkunde,لوح تقدیر / سند,certificate,Sie hat eine Urkunde bekommen.,او یک لوح تقدیر دریافت کرد.,Neutral,,die,die Urkunden
voller,پر از / مملو از,full of,Der Raum war voller Leute.,اتاق پر از جمعیت بود.,Neutral,,-,(Adj)
zahlreich,متعدد / زیاد,numerous,Es gab zahlreiche Zuschauer.,تماشاگران متعددی وجود داشتند.,Neutral,,-,(Adj)
zweitbester,دومین بهترین,second best,Er war der zweitbeste Läufer.,او دومین دونده برتر بود.,Neutral,,-,(Adj)
Zeitungstext,متن روزنامه,newspaper text,Lies den Zeitungstext.,متن روزنامه را بخوان.,Neutral,,der,die Zeitungstexte
Fahrradrallye,رالی دوچرخه‌سواری,bicycle rally,Wir machen eine Fahrradrallye.,ما یک رالی دوچرخه‌سواری انجام می‌دهیم.,Neutral,,die,die Fahrradrallyes
Olympiastadion,استادیوم المپیک,Olympic stadium,Das Spiel findet im Olympiastadion statt.,بازی در استادیوم المپیک برگزار می‌شود.,Neutral,,das,die Olympiastadien
Tageskarte,بلیط روزانه,day ticket,Eine Tageskarte ist günstiger.,بلیط روزانه ارزان‌تر است.,Neutral,,die,die Tageskarten
Weltrangliste,رده‌بندی جهانی,world ranking list,Er steht auf Platz 1 der Weltrangliste.,او در رتبه ۱ رده‌بندی جهانی قرار دارد.,Neutral,,die,die Weltranglisten
Ausrede,بهانه,excuse,Das ist eine schlechte Ausrede.,این یک بهانه بد است.,Neutral,,die,die Ausreden
Contra-Argument,استدلال مخالف,counter-argument,Welches Contra-Argument hast du?,چه استدلال مخالفی داری؟,Neutral,,das,die Contra-Argumente
Olympiade,المپیک / المپیاد,Olympics,Er nimmt an der Olympiade teil.,او در المپیک شرکت می‌کند.,Neutral,,die,die Olympiaden
parallel,موازی,parallel,Die Straßen verlaufen parallel.,خیابان‌ها موازی امتداد دارند.,Neutral,,-,(Adj/Adv)
Couchpotato,فرد تنبل (معتاد به تلویزیون/مبل),couch potato,Sei kein Couchpotato, komm raus!,تنبل نباش، بیا بیرون!,Neutral,,der/die,die Couchpotatoes
Spielfeld,زمین بازی,playing field,Die Spieler laufen auf das Spielfeld.,بازیکنان به زمین بازی می‌دوند.,Neutral,,das,die Spielfelder
Darstellung,نمایش / تصویرسازی,representation,Die grafische Darstellung ist gut.,تصویرسازی گرافیکی خوب است.,Neutral,,die,die Darstellungen
Bildergeschichte,داستان تصویری,picture story,Erzähle eine Bildergeschichte.,یک داستان تصویری تعریف کن.,Neutral,,die,die Bildergeschichten
Februar,فوریه,February,Im Februar ist es kalt.,در فوریه هوا سرد است.,Neutral,,der,-
Blogbeitrag,پست وبلاگ,blog post,Ich habe einen neuen Blogbeitrag geschrieben.,من یک پست وبلاگ جدید نوشتم.,Neutral,,der,die Blogbeiträge
Blogtext,متن وبلاگ,blog text,Der Blogtext ist interessant.,متن وبلاگ جالب است.,Neutral,,der,die Blogtexte
Elternzeit,مرخصی والدین (برای نگهداری کودک),parental leave,Der Vater nimmt Elternzeit.,پدر مرخصی والدین می‌گیرد.,Neutral,,die,-
Frauenrolle,نقش زنان,women's role,Die Frauenrolle in der Gesellschaft wandelt sich.,نقش زنان در جامعه در حال تغییر است.,Neutral,,die,die Frauenrollen
Informationstext,متن اطلاعاتی,informational text,Lies den Informationstext genau.,متن اطلاعاتی را با دقت بخوان.,Neutral,,der,die Informationstexte
Liedstrophe,بند شعر / بند آهنگ,verse / stanza,Wir singen die erste Liedstrophe.,ما بند اول آهنگ را می‌خوانیم.,Neutral,,die,die Liedstrophen
Männerrolle,نقش مردان,men's role,Wir diskutieren über die Männerrolle.,ما درباره نقش مردان بحث می‌کنیم.,Neutral,,die,die Männerrollen
Minderheit,اقلیت,minority,Die Minderheit wurde überstimmt.,اقلیت در رای‌گیری شکست خورد.,Neutral,,die,die Minderheiten
aussteigen,ترک کردن (شغل) / پیاده شدن,to drop out / get off,Sie will aus dem Beruf aussteigen.,او می‌خواهد شغلش را ترک کند.,Neutral,,-,(Verb)
Babypflege,مراقبت از نوزاد,baby care,Babypflege erfordert viel Zeit.,مراقبت از نوزاد زمان زیادی می‌طلبد.,Neutral,,die,-
bleiben,ماندن,to stay,Ich möchte heute zu Hause bleiben.,من می‌خواهم امروز در خانه بمانم.,Neutral,,-,(Verb)
Elterngeld,کمک‌هزینه والدین,parental allowance,Sie haben Elterngeld beantragt.,آن‌ها درخواست کمک‌هزینه والدین داده‌اند.,Neutral,,das,-
Erziehungsurlaub,مرخصی تربیت فرزند,parental leave,Er ist im Erziehungsurlaub.,او در مرخصی تربیت فرزند است.,Neutral,,der,die Erziehungsurlaube
Januar,ژانویه,January,Das Jahr beginnt im Januar.,سال در ژانویه شروع می‌شود.,Neutral,,der,-
Mai,مه (ماه),May,Im Mai blühen die Blumen.,در ماه مه گل‌ها شکوفه می‌دهند.,Neutral,,der,-
Mutterschutz,مرخصی زایمان (حمایت مادران),maternity leave / protection,Sie ist jetzt im Mutterschutz.,او الان در مرخصی زایمان است.,Neutral,,der,-
November,نوامبر,November,Der November ist oft grau.,نوامبر اغلب خاکستری است.,Neutral,,der,-
wow,وای / چه عالی,wow,Wow, das hast du toll gemacht!,وای، این کار را عالی انجام دادی!,Neutral,,-,(Interj)
Gefühl,احساس / حس,feeling,Ich habe ein gutes Gefühl dabei.,من حس خوبی نسبت به آن دارم.,Neutral,,das,die Gefühle
irgendwer,کسی / هر کسی,someone / anyone,Hat irgendwer meine Tasche gesehen?,آیا کسی کیف مرا دیده است؟,Neutral,,-,(Pron)
misstrauen,بی‌اعتماد بودن,to mistrust,Er misstraut fremden Menschen.,او به غریبه‌ها بی‌اعتماد است.,Neutral,,mit + D,(Verb)
Verantwortung,مسئولیت,responsibility,Du trägst die Verantwortung für das Projekt.,تو مسئولیت پروژه را بر عهده داری.,Neutral,,die,-
alleinerziehend,والد تنها (تک‌سرپرست),single parenting,Meine Nachbarin ist alleinerziehend.,همسایه من تک‌سرپرست است.,Neutral,,-,(Adj)
bringen,آوردن / سود داشتن,to bring / yield,Diese Arbeit bringt viel Geld.,این کار پول زیادی می‌آورد.,Neutral,,-,(Verb)
Geschlechterrolle,نقش جنسیتی,gender role,Geschlechterrollen werden diskutiert.,نقش‌های جنسیتی مورد بحث قرار می‌گیرند.,Neutral,,die,die Geschlechterrollen
Gleichberechtigung,برابری حقوق,equality,Wir kämpfen für die Gleichberechtigung.,ما برای برابری حقوق مبارزه می‌کنیم.,Neutral,,die,-
halten,نگه داشتن / دوام آوردن,to last / hold,Die Beziehung hält schon lange.,این رابطه مدت زیادی دوام آورده است.,Neutral,,-,(Verb)
Karriere,شغل / حرفه,career,Sie macht Karriere bei einer Bank.,او در یک بانک پیشرفت شغلی می‌کند.,Neutral,,die,die Karrieren
Krise,بحران,crisis,Die Firma steckt in einer Krise.,شرکت در بحران است.,Neutral,,die,die Krisen
Lebensgefährte,شریک زندگی,life partner,Das ist mein Lebensgefährte.,این شریک زندگی من است.,Neutral,,der,die Lebensgefährten
locker,شل / راحت,loose / relaxed,Er sieht das ganz locker.,او این را خیلی راحت می‌گیرد.,Neutral,,-,(Adj)
loslassen,رها کردن,to let go,Du musst die Vergangenheit loslassen.,تو باید گذشته را رها کنی.,Neutral,,-,(Verb)
Mutterrolle,نقش مادری,mother's role,Sie fühlt sich wohl in der Mutterrolle.,او در نقش مادری احساس راحتی می‌کند.,Neutral,,die,die Mutterrollen
trennen (sich),جدا شدن,to separate,Das Paar hat sich getrennt.,زوج از هم جدا شدند.,Neutral,,-,(Verb)
Trennung,جدایی,separation,Die Trennung war schmerzhaft.,جدایی دردناک بود.,Neutral,,die,die Trennungen
Vaterrolle,نقش پدری,father's role,Er nimmt seine Vaterrolle ernst.,او نقش پدری‌اش را جدی می‌گیرد.,Neutral,,die,die Vaterrollen
Vergnügen,لذت / تفریح,pleasure,Es war mir ein Vergnügen.,باعث افتخار (لذت) من بود.,Neutral,,das,-
versäumen,از دست دادن / غفلت کردن,to miss,Er hat den Termin versäumt.,او قرار را از دست داد.,Neutral,,-,(Verb)
verständlich,قابل فهم,understandable,Deine Reaktion ist verständlich.,واکنش تو قابل فهم است.,Neutral,,-,(Adj)
Eltern-Forum,انجمن والدین,parents' forum,Ich habe im Eltern-Forum nach Rat gefragt.,من در انجمن والدین راهنمایی خواستم.,Neutral,,das,die Eltern-Foren
Gleichzeitigkeit,همزمانی,simultaneity,Die Gleichzeitigkeit der Ereignisse war Zufall.,همزمانی رویدادها تصادفی بود.,Neutral,,die,-
abwaschen,ظرف شستن,to wash up,Wer muss heute abwaschen?,چه کسی امروز باید ظرف بشوید؟,Neutral,,-,(Verb)
bringen (ins Bett),بردن / رساندن,to take / bring,Ich bringe die Kinder ins Bett.,من بچه‌ها را به تختخواب می‌برم.,Neutral,,-,(Verb)
erziehen,تربیت کردن,to raise / educate,Sie erziehen ihre Kinder streng.,آن‌ها فرزندانشان را سخت‌گیرانه تربیت می‌کنند.,Neutral,,-,(Verb)
eher,بیشتر / ترجیحاً,rather / sooner,Ich trinke eher Tee als Kaffee.,من ترجیحاً چای می‌نوشم تا قهوه.,Neutral,,-,(Adv)
Risiko,ریسک / خطر,risk,Das Risiko ist zu hoch.,ریسک خیلی بالا است.,Neutral,,das,die Risiken
überraschend,غافلگیرکننده,surprising,Das Ergebnis war überraschend.,نتیجه غافلگیرکننده بود.,Neutral,,-,(Adj)
brauchen (nicht zu),نیاز داشتن / لازم بودن,to need,Du brauchst das nicht zu tun.,تو لازم نیست این کار را انجام دهی.,Neutral,,-,(Verb)
England,انگلستان,England,Wir fahren nach England.,ما به انگلستان می‌رویم.,Neutral,,das,-
Englischlernen,یادگیری انگلیسی,learning English,Das Englischlernen fällt mir leicht.,یادگیری انگلیسی برایم آسان است.,Neutral,,das,-
Erfindung,اختراع,invention,Das Internet ist eine wichtige Erfindung.,اینترنت یک اختراع مهم است.,Neutral,,die,die Erfindungen
evangelisch,پروتستان,Protestant,Die Kirche ist evangelisch.,کلیسا پروتستان است.,Neutral,,-,(Adj)
finanzieren,تأمین مالی کردن,to finance,Wie finanzierst du dein Studium?,چطور هزینه‌های تحصیلت را تأمین می‌کنی؟,Neutral,,-,(Verb)
frühzeitig,زودهنگام / به موقع,early,Bitte sagen Sie frühzeitig Bescheid.,لطفا زودتر اطلاع دهید.,Neutral,,-,(Adj)
gleichaltrig,هم‌سن,of the same age,Meine Kinder sind gleichaltrig.,فرزندان من هم‌سن هستند.,Neutral,,-,(Adj)
im Gegensatz zu,برخلاف,in contrast to,Im Gegensatz zu dir mag ich Fisch.,برخلاف تو، من ماهی دوست دارم.,Neutral,,-,(Präp)
Institution,موسسه / نهاد,institution,Die Schule ist eine staatliche Institution.,مدرسه یک نهاد دولتی است.,Neutral,,die,die Institutionen
katholisch,کاتولیک,Catholic,Er ist katholisch.,او کاتولیک است.,Neutral,,-,(Adj)
Kindertagesstätte,مهد کودک,day care center,Das Kind geht in die Kindertagesstätte.,کودک به مهد کودک می‌رود.,Neutral,,die,die Kindertagesstätten
KITA,مهد کودک (مخفف),daycare center,Die KITA öffnet um 7 Uhr.,مهد کودک ساعت ۷ باز می‌شود.,Neutral,,die,die KITAs
Mangel,کمبود,lack / shortage,Es herrscht ein Mangel an Fachkräften.,کمبود نیروی متخصص وجود دارد.,Neutral,,der,die Mängel
Metropole,کلان‌شهر,metropolis,London ist eine Metropole.,لندن یک کلان‌شهر است.,Neutral,,die,die Metropolen
Unterstützung,حمایت / پشتیبانی,support,Danke für deine Unterstützung.,ممنون بابت حمایتت.,Neutral,,die,die Unterstützungen
vernünftig,عاقلانه / معقول,reasonable / sensible,Sei doch vernünftig!,عاقل باش!,Neutral,,-,(Adj)
Kinderbetreuung,مراقبت از کودک,childcare,Die Kinderbetreuung ist teuer.,مراقبت از کودک گران است.,Neutral,,die,die Kinderbetreuungen
Kindergärtnerin,مربی مهد کودک,kindergarten teacher,Die Kindergärtnerin spielt mit den Kindern.,مربی مهد کودک با بچه‌ها بازی می‌کند.,Neutral,,die,die Kindergärtnerinnen
verreisen,سفر رفتن,to go on a trip,Wir verreisen im Sommer oft.,ما در تابستان اغلب به سفر می‌رویم.,Neutral,,-,(Verb)
realistisch,واقع‌بینانه,realistic,Bleib bitte realistisch.,لطفاً واقع‌بین باش.,Neutral,,-,(Adj)
bisschen,کمی / ذره‌ای,a little / bit,Ich spreche ein bisschen Deutsch.,من کمی آلمانی صحبت می‌کنم.,Neutral,,-,(Indefinitpronomen)
Indefinitpronomen,ضمیر نامعین,indefinite pronoun,"Jemand" ist ein Indefinitpronomen.,"Jemand" یک ضمیر نامعین است.,Neutral,,das,die Indefinitpronomen
Neutrum,خنثی,neuter,"Das Haus" ist Neutrum.,"Das Haus" خنثی است.,Neutral,,das,-
Possessivpronomen,ضمیر ملکی,possessive pronoun,"Mein" ist ein Possessivpronomen.,"Mein" یک ضمیر ملکی است.,Neutral,,das,die Possessivpronomen
durchfallen,مردود شدن / رد شدن,to fail / fall through,Er ist durch die Prüfung gefallen.,او در امتحان مردود شد.,Neutral,,-,(Verb)
Kontrastakzent,تکیه تقابلی,contrastive accent,Der Kontrastakzent liegt auf "du".,تکیه تقابلی روی "du" است.,Neutral,,der,die Kontrastakzente
Hit,آهنگ پرطرفدار / موفقیت,hit,Das Lied war ein großer Hit.,آهنگ یک موفقیت بزرگ بود.,Neutral,,der,die Hits
Titel,عنوان / لقب,title,Wie lautet der Titel des Buches?,عنوان کتاب چیست؟,Neutral,,der,die Titel
Boulevard-Zeitung,روزنامه زرد,tabloid,Ich lese keine Boulevard-Zeitungen.,من روزنامه‌های زرد نمی‌خوانم.,Neutral,,die,die Boulevard-Zeitungen
fixiert,متمرکز / خیره,fixated,Er ist auf seine Arbeit fixiert.,او روی کارش متمرکز (خیره) است.,Neutral,auf + A,,-
Horoskop,طالع‌بینی,horoscope,Glaubst du an dein Horoskop?,آیا به طالع‌بینی‌ات اعتقاد داری؟,Neutral,,das,die Horoskope
immerzu,دائماً / پیوسته,constantly / always,Warum redest du immerzu?,چرا دائماً حرف می‌زنی؟,Neutral,,-,(Adv)
Liebeslexikon,فرهنگ لغت عشق,love dictionary,Sie schreibt ein Liebeslexikon.,او یک فرهنگ لغت عشق می‌نویسد.,Neutral,,das,die Liebeslexika
Möbelladen,فروشگاه مبلمان,furniture store,Wir kaufen ein Sofa im Möbelladen.,ما یک مبل از فروشگاه مبلمان می‌خریم.,Neutral,,der,die Möbelläden
Schaufenster,ویترین مغازه,shop window,Im Schaufenster liegen schöne Kleider.,در ویترین مغازه لباس‌های زیبایی قرار دارد.,Neutral,,das,die Schaufenster
schweben,معلق بودن / شناور بودن,to hover / float,Die Wolke schwebt am Himmel.,ابر در آسمان معلق است.,Neutral,,-,(Verb)
so was,همچین چیزی,such a thing,So was habe ich noch nie gesehen!,تا به حال همچین چیزی ندیده‌ام!,Neutral,,-,(Pron)
Spielkartenfarbe,خال ورق (در پاسور),card suit,Welche Spielkartenfarbe ist Trumpf?,کدام خال ورق حکم است؟,Neutral,,die,die Spielkartenfarben
Textstelle,قسمت متن / پاساژ,passage (in a text),Lies die Textstelle bitte vor.,لطفاً این قسمت متن را بلند بخوان.,Neutral,,die,die Textstellen
Trumpf,برگ برنده,trump,Herz ist Trumpf.,دل حکم (برگ برنده) است.,Neutral,,der,die Trümpfe
wert,ارزشمند / ارزش داشتن,worth,Das Auto ist viel wert.,این ماشین خیلی می‌ارزد.,Neutral,,-,(Adj)
Strophe,بند (شعر),stanza / verse,Das Gedicht hat vier Strophen.,شعر چهار بند دارد.,Neutral,,die,die Strophen
Liebeskummer,غم عشق,lovesickness / heartbreak,Sie hat Liebeskummer.,او غم عشق دارد (عاشق شکست‌خورده است).,Neutral,,der,-
Friseurgeschäft,آرایشگاه,hair salon,Er eröffnet ein Friseurgeschäft.,او یک آرایشگاه افتتاح می‌کند.,Neutral,,das,die Friseurgeschäfte
Berufswahl,انتخاب شغل,career choice,Die Berufswahl ist schwierig.,انتخاب شغل دشوار است.,Neutral,,die,-
Kellnerin,پیشخدمت زن,waitress,Die Kellnerin bringt die Speisekarte.,پیشخدمت منو را می‌آورد.,Neutral,,die,die Kellnerinnen
tabellarisch,جدولی,tabular,Erstellen Sie einen tabellarischen Lebenslauf.,یک رزومه جدولی تهیه کنید.,Neutral,,-,(Adj)
Werdegang,سوابق کاری/تحصیلی,career background / history,Erzählen Sie uns von Ihrem Werdegang.,از سوابق کاری خود برای ما بگویید.,Neutral,,der,die Werdegänge
gültig,معتبر,valid,Der Ausweis ist nicht mehr gültig.,کارت شناسایی دیگر معتبر نیست.,Neutral,,-,(Adj)
Bürokratie,بوروکراسی / کاغذبازی اداری,bureaucracy,Die Bürokratie dauert lange.,کاغذبازی اداری طول می‌کشد.,Neutral,,die,-
frustrierend,ناامیدکننده,frustrating,Es ist frustrierend, keinen Job zu finden.,پیدا نکردن شغل ناامیدکننده است.,Neutral,,-,(Adj)
Hörtext,متن شنیداری,listening text,Wir hören jetzt einen Hörtext.,ما الان یک متن شنیداری گوش می‌دهیم.,Neutral,,der,die Hörtexte
Weiterbildung,آموزش تکمیلی,further education / training,Die Firma bezahlt die Weiterbildung.,شرکت هزینه آموزش تکمیلی را می‌پردازد.,Neutral,,die,die Weiterbildungen
Arbeitszeugnis,گواهی کار,reference letter / employment certificate,Mein Arbeitszeugnis ist sehr gut.,گواهی کار من بسیار خوب است.,Neutral,,das,die Arbeitszeugnisse
Bescheinigung,گواهی / تاییدیه,certificate / attestation,Ich brauche eine Bescheinigung vom Arzt.,من به یک گواهی از پزشک نیاز دارم.,Neutral,,die,die Bescheinigungen
Definition,تعریف,definition,Die Definition ist unklar.,تعریف نامشخص است.,Neutral,,die,die Definitionen
zukünftig,آینده / آتی,future / prospective,Mein zukünftiger Chef ist nett.,رئیس آینده من مهربان است.,Neutral,,-,(Adj)
Anerkennungsberatungsstelle,مرکز مشاوره تایید مدارک,recognition counseling center,Gehen Sie zur Anerkennungsberatungsstelle.,به مرکز مشاوره تایید مدارک بروید.,Neutral,,die,die Anerkennungsberatungsstellen
Bukarest,بخارست,Bucharest,Bukarest ist die Hauptstadt von Rumänien.,بخارست پایتخت رومانی است.,Neutral,,das,-
dokumentieren,مستند کردن,to document,Bitte dokumentieren Sie den Vorgang.,لطفاً فرآیند را مستند کنید.,Neutral,,-,(Verb)
Fähigkeit,توانایی / قابلیت,ability / skill,Er hat besondere Fähigkeiten.,او توانایی‌های خاصی دارد.,Neutral,,die,die Fähigkeiten
nachdem,بعد از اینکه,after,Nachdem er gegessen hatte, ging er schlafen.,بعد از اینکه غذا خورد، رفت بخوابد.,Neutral,,-,(Konj)
zusammenbleiben,با هم ماندن,to stay together,Wir wollen für immer zusammenbleiben.,ما می‌خواهیم برای همیشه با هم بمانیم.,Neutral,,-,(Verb)
zuvor,قبلاً / پیش از آن,before / previously,Das habe ich zuvor nie gesehen.,من قبلاً هرگز این را ندیده بودم.,Neutral,,-,(Adv)
März,مارس,March,Im März beginnt der Frühling.,در مارس بهار شروع می‌شود.,Neutral,,der,-
Plusquamperfekt,ماضی بعید,pluperfect,Das Plusquamperfekt drückt die Vorvergangenheit aus.,ماضی بعید گذشته دور را بیان می‌کند.,Neutral,,das,die Plusquamperfekte
anpassen,تطبیق دادن,to adjust / adapt,Sie müssen sich an die neue Umgebung anpassen.,شما باید خود را با محیط جدید تطبیق دهید.,Neutral,,-,(Verb)
Augenoptiker,عینک‌ساز / اپتومتریست,optician,Der Augenoptiker prüft meine Augen.,عینک‌ساز چشمان مرا معاینه می‌کند.,Neutral,,der,die Augenoptiker
Augenoptikerhandwerk,حرفه عینک‌سازی,optician craft,Das Augenoptikerhandwerk hat Tradition.,حرفه عینک‌سازی سنت دارد.,Neutral,,das,-
augenoptisch,مربوط به چشم‌‌پزشکی/عینک‌سازی,optometric / optical,Er macht eine augenoptische Ausbildung.,او دوره آموزشی عینک‌سازی می‌گذراند.,Neutral,,-,(Adj)
Berufsprofil,پروفایل شغلی,job profile,Das Berufsprofil passt zu mir.,پروفایل شغلی به من می‌خورد.,Neutral,,das,die Berufsprofile
Brillenglas,شیشه عینک,spectacle lens,Das Brillenglas ist zerkratzt.,شیشه عینک خش‌دار شده است.,Neutral,,das,die Brillengläser
durchführen,انجام دادن / اجرا کردن,to conduct / perform,Wir führen ein Experiment durch.,ما یک آزمایش انجام می‌دهیم.,Neutral,,-,(Verb)
Einsatzgebiet,حوزه فعالیت,area of application / operation,Sein Einsatzgebiet ist groß.,حوزه فعالیت او گسترده است.,Neutral,,das,die Einsatzgebiete
Kontaktlinse,لنز تماسی,contact lens,Ich trage lieber Kontaktlinsen als Brille.,من ترجیح می‌دهم لنز تماسی بگذارم تا عینک.,Neutral,,die,die Kontaktlinsen
Pflegemittel,مواد نگهداری/بهداشتی,care product,Das Pflegemittel reinigt die Linsen.,ماده نگهداری لنزها را تمیز می‌کند.,Neutral,,das,die Pflegemittel
Sehtest,تست بینایی,eye test,Ich muss einen Sehtest machen.,من باید تست بینایی انجام دهم.,Neutral,,der,die Sehtests
Verwaltungsarbeit,کار اداری,administrative work,Die Verwaltungsarbeit macht mir Spaß.,کار اداری برایم لذت‌بخش است.,Neutral,,die,die Verwaltungsarbeiten
substantiviert,اسم‌سازی شده,nominalized,Das Adjektiv wird hier substantiviert.,صفت در اینجا اسم‌سازی می‌شود.,Neutral,,-,-
Bestimmungswort,کلمه تعیین‌کننده,determinative element,Das Bestimmungswort beschreibt das Grundwort genauer.,کلمه تعیین‌کننده کلمه پایه را دقیق‌تر توصیف می‌کند.,Neutral,,das,die Bestimmungswörter
Brillenpflegemittel,محلول تمیزکننده عینک,glasses care product,Ich brauche ein neues Brillenpflegemittel.,من به یک محلول تمیزکننده عینک جدید نیاز دارم.,Neutral,,das,die Brillenpflegemittel
Flüssigkeit,مایع,liquid,Wasser ist eine Flüssigkeit.,آب یک مایع است.,Neutral,,die,die Flüssigkeiten
Grundwort,کلمه پایه,base word,Das Grundwort steht am Ende.,کلمه پایه در آخر قرار می‌گیرد.,Neutral,,das,die Grundwörter
Handwerk,پیشه / صنعت دستی,craft / trade,Tischler ist ein Handwerk.,نجاری یک پیشه است.,Neutral,,das,die Handwerke
Kontaktlinsenflüssigkeit,مایع لنز تماسی,contact lens solution,Meine Kontaktlinsenflüssigkeit ist leer.,مایع لنز تماسی من تمام شده است.,Neutral,,die,die Kontaktlinsenflüssigkeiten
Linsenflüssigkeit,مایع لنز,lens solution,Hast du Linsenflüssigkeit dabei?,آیا مایع لنز همراه داری؟,Neutral,,die,die Linsenflüssigkeiten
Mittel,وسیله / دارو / راهکار,means / remedy,Es gibt kein Mittel gegen diese Krankheit.,هیچ دارویی برای این بیماری وجود ندارد.,Neutral,,das,die Mittel
Optikerhandwerk,حرفه عینک‌سازی,optician trade,Er lernt das Optikerhandwerk.,او حرفه عینک‌سازی را یاد می‌گیرد.,Neutral,,das,-
zusammengesetzt,مرکب / ترکیبی,compound,Das ist ein zusammengesetztes Nomen.,این یک اسم مرکب است.,Neutral,,-,-
Wunschberuf,شغل رویایی,dream job,Mein Wunschberuf ist Pilot.,شغل رویایی من خلبانی است.,Neutral,,der,die Wunschberufe
Ausbildungsstätte,محل کارآموزی / مرکز آموزشی,training center,Die Ausbildungsstätte ist modern ausgestattet.,مرکز آموزشی تجهیزات مدرنی دارد.,Neutral,,die,die Ausbildungsstätten
