Deutsch,Farsi,English,Beispielsatz,Beispielsatz_Farsi,Status,Präposition,Artikel,Plural
Neugier / neugierig,کنجکاوی / کنجکاو,Curiosity / Curious,Die Kinder sind neugierig auf die Geschenke.,بچه‌ها کنجکاو هدایا هستند.,Neutral,auf + A,die,-
Neugierde,-,Curiosity,Ihre große Neugierde motivierte sie.,کنجکاوی زیادش به او انگیزه داد.,Neutral,-,die,-
nützen,مفید بودن,to be useful,Die neue Software nützt uns sehr für die Organisation der Daten.,نرم‌افزار جدید برای سازماندهی داده‌ها برای ما بسیار مفید است.,Neutral,für + A,,
sich orientieren,جهت‌یابی کردن,to orient oneself,Wir orientieren uns an den strengen Vorschriften der EU.,ما بر اساس مقررات سخت‌گیرانه اتحادیه اروپا جهت‌یابی می‌کنیم.,Neutral,an + D,,
passen,مناسب بودن,to fit,Die Farbe des Hemdes passt gut zu deiner Hose.,رنگ پیراهن به خوبی با شلوار شما جور است.,Neutral,zu + D,,
profitieren,سود بردن,to benefit,Alle Mitarbeiter profitieren von den neuen Weiterbildungsangeboten.,همه کارکنان از پیشنهادات جدید آموزش مداوم بهره‌مند می‌شوند.,Neutral,von + D,,
protestieren,اعتراض کردن,to protest,Die Bürger protestieren gegen die geplante Schließung des Krankenhauses.,شهروندان علیه بسته شدن برنامه‌ریزی شده بیمارستان اعتراض می‌کنند.,Neutral,gegen + A,,
raten,توصیه کردن,to advise,Der Anwalt rät seinem Mandanten zu einem Vergleich.,وکیل به موکل خود توصیه می‌کند که سازش کند.,Neutral,zu + D,,
reagieren,واکنش نشان دادن,to react,Wie hat der Chef auf deinen Vorschlag reagiert?,رئیس چگونه به پیشنهاد شما واکنش نشان داد؟,Neutral,auf + A,,
reagieren,واکنش نشان دادن,to react,Bei dieser Art von Stress reagiere ich immer sehr empfindlich.,در این نوع استرس، من همیشه بسیار حساس واکنش نشان می‌دهم.,Neutral,bei + D,,
reden,صحبت کردن,to talk,Er redet oft von seiner Zeit in Afrika.,او اغلب در مورد دوران خود در آفریقا صحبت می‌کند.,Neutral,von + D,,
reden,صحبت کردن,to talk,Wir müssen dringend über die neue Strategie reden.,ما باید فوراً در مورد استراتژی جدید صحبت کنیم.,Neutral,über + A,,
reizen,تحریک کردن,to charm/attract,Was reizt dich am meisten an dieser Herausforderung?,چه چیزی بیشتر از همه شما را به این چالش جذب می‌کند؟,Neutral,an + D,,
retten,نجات دادن,to save,Der Feuerwehrmann konnte die Katze vor dem Flammen retten.,آتش‌نشان توانست گربه را از شعله‌ها نجات دهد.,Neutral,vor + D,,
sagen,گفتن,to say,Was sagen Sie zu diesem überraschenden Ergebnis?,در مورد این نتیجه شگفت‌انگیز چه می‌گویید؟,Neutral,zu + D,,
sagen,گفتن,to say/talk about,Er hat nichts Gutes über seinen ehemaligen Kollegen gesagt.,او هیچ چیز خوبی در مورد همکار سابق خود نگفت.,Neutral,über + A,,
schmecken,مزه دادن,to taste,Die Suppe schmeckt stark nach frischem Koriander.,این سوپ طعم قوی گشنیز تازه می‌دهد.,Neutral,nach + D,,
schreiben,نوشتن,to write,Er schreibt jeden Morgen eine E-Mail an seinen Chef.,او هر روز صبح یک ایمیل به رئیس خود می‌نویسد.,Neutral,an + A,,
sensibilisieren,حساس کردن,to sensitize,Die Kampagne soll die Bevölkerung für die Gefahr des Plastikmülls sensibilisieren.,این کمپین قرار است مردم را نسبت به خطر زباله‌های پلاستیکی حساس کند.,Neutral,für + A,,
sich sorgen,نگران بودن,to worry,Die Eltern sorgen sich sehr um die Gesundheit ihres Kindes.,والدین بسیار نگران سلامتی فرزند خود هستند.,Neutral,um + A,,
sprechen,صحبت کردن,to talk,Wir sprechen über das neue Projekt.,ما در مورد پروژه جدید صحبت می کنیم.,Neutral,über + A,das,Gespräche
sprechen,صحبت کردن,to talk,Ich spreche mit meinem Chef.,من با رئیسم صحبت می کنم.,Neutral,mit + D,das,Gespräche
sterben,مردن,to die,Er starb an einer schweren Krankheit.,او بر اثر یک بیماری جدی درگذشت.,Neutral,an + D,,
stimmen,رأی دادن,to vote,Die Bürger stimmen für den neuen Kandidaten.,شهروندان به نامزد جدید رأی می دهند.,Neutral,für + A,die,Stimmen
stolz,مغرور/افتخار,proud,Sie ist stolz auf ihre Leistungen.,او به دستاوردهای خود افتخار می کند.,Neutral,auf + A,der,
streiten,دعوا کردن,to argue,Sie streiten sich oft über Politik.,آنها اغلب در مورد سیاست دعوا می کنند.,Neutral,über + A,der,Streitigkeiten
streiten,دعوا کردن,to argue,Die Kinder streiten um das Spielzeug.,بچه ها سر اسباب بازی دعوا می کنند.,Neutral,um + A,der,Streitigkeiten
streiten,دعوا کردن,to argue,Er streitet sich mit seinem Bruder.,او با برادرش دعوا می کند.,Neutral,mit + D,der,Streitigkeiten
tauschen,مبادله کردن,to exchange,Er tauscht sein altes Handy gegen ein neues Modell.,او گوشی قدیمی خود را با یک مدل جدید مبادله می کند.,Green,gegen + A,der,Tausche
tauschen,مبادله کردن,to exchange,Ich tausche Bücher mit meinem Freund.,من با دوستم کتاب مبادله می کنم.,Neutral,mit + D,der,Tausche
teilhaben,مشارکت کردن,to participate,Jeder soll an diesem Prozess teilhaben können.,هر کس باید بتواند در این فرآیند مشارکت کند.,Red,an + D,die,
teilnehmen,شرکت کردن,to take part,Nimmst du an dem Marathon teil?,آیا در ماراتن شرکت می کنی؟,Neutral,an + D,die,Teilnahmen
telefonieren,تلفن کردن,to telephone,Ich telefoniere oft mit meiner Familie.,من اغلب با خانواده ام تلفنی صحبت می کنم.,Neutral,mit + D,das,Telefonate
träumen,خواب دیدن,to dream,Sie träumt von einem eigenen Haus am Meer.,او رویای داشتن یک خانه در کنار دریا را دارد.,Neutral,von + D,der,Träume
treffen,ملاقات کردن,to meet,Ich treffe mich morgen mit einem alten Freund.,من فردا با یک دوست قدیمی ملاقات می کنم.,Neutral,mit + D,das,Treffen
trennen/getrennt,جدا شدن,to separate/separated,Sie leben seit einem Jahr getrennt von ihrem Partner.,آنها یک سال است که از شریک زندگی خود جدا زندگی می کنند.,Neutral,von + D,die,Trennungen
typisch,نمونه/معمولی,typical,Solch ein Verhalten ist typisch für ihn.,چنین رفتاری برای او معمولی است.,Neutral,für + A,,
Übersetzen,ترجمه کردن,to translate,Ich übersetze den Text aus dem Spanischen.,من متن را از اسپانیایی ترجمه می کنم.,Neutral,aus + D,die,Übersetzungen
Übersetzen,ترجمه کردن,to translate,Er übersetzt das Buch in die deutsche Sprache.,او کتاب را به زبان آلمانی ترجمه می کند.,Neutral,in + A,die,Übersetzungen
überzeugen/überzeugt,قانع شدن,convinced,Wir sind von seiner Ehrlichkeit überzeugt.,ما از صداقت او متقاعد شده ایم.,Neutral,von + D,die,Überzeugungen
Unterhaltung,گفتگو، صحبت,conversation,Wir hatten eine lange Unterhaltung über das neue Projekt.,ما یک گفتگوی طولانی در مورد پروژه جدید داشتیم.,Neutral,über + A,die,Unterhaltungen
unterscheidbar,قابل تشخیص,distinguishable,Die Farben sind nur schwer nach Helligkeit unterscheidbar.,تشخیص رنگ‌ها فقط بر اساس روشنایی دشوار است.,Neutral,nach + D,-,-
verantwortlich,مسئول، متعهد,responsible,Wer ist verantwortlich für die Organisation des Events?,چه کسی مسئول سازماندهی این رویداد است؟,Neutral,für + A,-,-
verfügen,در اختیار داشتن,to have at one's disposal,Das Hotel verfügt über einen großen Pool und eine Sauna.,هتل دارای یک استخر بزرگ و سونا است.,Neutral,über + A,-,-
Vergleich,مقایسه,comparison,Der Vergleich mit dem Vorjahr zeigt eine deutliche Verbesserung.,مقایسه با سال گذشته بهبود قابل توجهی را نشان می‌دهد.,Neutral,mit + D,der,Vergleiche
verglichen,مقایسه شده,compared,Die Ergebnisse wurden miteinander verglichen.,نتایج با یکدیگر مقایسه شدند.,Neutral,-,-,-
verheiratet,متاهل,married,Sie ist seit zehn Jahren mit einem Architekten verheiratet.,او ده سال است که با یک معمار ازدواج کرده است.,Neutral,mit + D,-,-
verpflichten,متعهد شدن,to commit,Wir müssen uns zu dieser Strategie verpflichten.,ما باید خودمان را به این استراتژی متعهد سازیم.,Neutral,zu + D,die,die Verpflichtungen
verrückt,دیوانه,crazy,Er ist total verrückt nach Schokolade.,او کاملاً دیوانه شکلات است.,Neutral,nach + D,,
verschieben,به تعویق انداختن,to postpone,Wir müssen das Treffen auf nächste Woche verschieben.,ما باید جلسه را به هفته آینده موکول کنیم.,Neutral,auf + A,die,die Verschiebungen
versichern,بیمه کردن,to insure,Ich muss mein Auto gegen Schäden versichern.,من باید ماشینم را در برابر خسارات بیمه کنم.,Neutral,gegen + A,die,die Versicherungen
versöhnen,آشتی کردن,to reconcile,Nach dem Streit hat sie sich mit ihrer Schwester versöhnt.,پس از دعوا، او با خواهرش آشتی کرد.,Neutral,mit + D,die,die Versöhnungen
verstoßen,نقض کردن,to violate,Er hat gegen die Verkehrsregeln verstoßen.,او مقررات راهنمایی و رانندگی را نقض کرده است.,Neutral,gegen + A,der,die Verstöße
vertrauen,اعتماد کردن,to trust,Wir sollten auf die Fähigkeiten unseres Teams vertrauen.,ما باید به توانایی‌های تیم خود اعتماد کنیم.,Neutral,auf + A / in + A,das,
vertraut,آشنا,familiar,Sind Sie mit diesem komplexen Thema vertraut?,آیا شما با این موضوع پیچیده آشنا هستید؟,Neutral,mit + D,,
verwandt,خویشاوند,related,Sie ist mit dem Bürgermeister verwandt.,او با شهردار خویشاوند است.,Neutral,mit + D,die,die Verwandtschaften
verweisen,اشاره کردن,to refer,Der Lehrer verwies die Schüler auf die Regeln.,معلم دانش‌آموزان را به قوانین ارجاع داد.,Neutral,auf + A,der,die Verweise
verzichten,صرف نظر کردن,to give up,Er musste auf seinen Urlaub verzichten.,او مجبور شد از تعطیلاتش صرف نظر کند.,Neutral,auf + A,der,
verzweifeln,ناامید شدن,to despair,Wir dürfen nicht an der Komplexität der Aufgabe verzweifeln.,ما نباید از پیچیدگی وظیفه ناامید شویم.,Neutral,an + D,,
voll,پر,full,Die Truhe war voll von Goldmünzen.,صندوق پر از سکه‌های طلا بود.,Neutral,von + D,,
vorbereiten,آماده کردن,to prepare,Wir bereiten uns auf die Prüfung vor.,ما برای امتحان آماده می‌شویم.,Neutral,auf + A,,
Vorkommen,وقوع/وجود,occurrence,Dieses Vorkommen von Fehlern ist typisch bei Anfängern.,این وقوع خطاها در میان مبتدیان معمول است.,Neutral,bei + D,das,die Vorkommen
warnen,هشدار دادن,to warn,Die Polizei warnt die Bürger vor dem Sturm.,پلیس به شهروندان در مورد طوفان هشدار می‌دهد.,Neutral,vor + D,,
warten,منتظر بودن,to wait,Wir müssen lange auf den Bus warten.,ما باید مدت زیادی منتظر اتوبوس بمانیم.,Neutral,auf + A,,
werben,تبلیغ کردن,to advertise,Das Unternehmen wirbt für sein neues Produkt.,شرکت برای محصول جدید خود تبلیغ می‌کند.,Neutral,für + A,,
wetten,شرط بستن,to bet,Er wettet oft um viel Geld.,او اغلب بر سر پول زیاد شرط می‌بندد.,Neutral,um + A / mit + D,,
Wichtigkeit,اهمیت,importance,Gesunde Ernährung ist wichtig für den Körper.,تغذیه سالم برای بدن مهم است.,Neutral,für + A,die,
wirken,تأثیر گذاشتن,to affect,Das Medikament wirkt schnell auf die Schmerzen.,دارو به سرعت بر دردها تأثیر می‌گذارد.,Neutral,auf + A,,
wundern,شگفت‌زده شدن,to wonder,Ich wundere mich über seine plötzliche Entscheidung.,من از تصمیم ناگهانی او تعجب می‌کنم.,Neutral,über + A,,
Zufriedenheit,رضایت,satisfaction,Wir sind mit dem Ergebnis sehr zufrieden.,ما از نتیجه بسیار راضی هستیم.,Neutral,mit + D,die,
zweifeln,شک داشتن,to doubt,Der Student zweifelt an der Richtigkeit der Lösung.,دانشجو به درستی راه‌حل شک دارد.,Neutral,an + D,,
